2018-03-25 12:51:02,869 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-26 12:40:24,682 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-27 11:22:51,699 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-27 22:35:08,764 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-03-27 22:35:10,932 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
2018-03-28 00:43:47,023 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-03-28 00:43:47,350 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
2018-04-02 21:15:07,636 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-04-08 18:19:31,637 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-04-09 11:16:25,408 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-13 21:45:07,994 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @383383729ms to org.eclipse.jetty.util.log.Slf4jLog
2018-04-13 21:45:08,574 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.7.v20170914
2018-04-13 21:45:08,690 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2018-04-13 21:45:08,690 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2018-04-13 21:45:08,691 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2018-04-13 21:45:08,750 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@3c967f0f{/help,null,AVAILABLE}
2018-04-13 21:45:08,858 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@66c9b8fe{HTTP/1.1,[http/1.1]}{127.0.0.1:58932}
2018-04-13 21:45:08,858 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @383384593ms
2018-04-15 19:07:30,394 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-04-15 19:13:08,841 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-18 01:49:58,208 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-04-18 16:33:49,433 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-18 16:55:55,797 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-18 17:10:45,442 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
